model,cv_roc_auc_mean,cv_roc_auc_std,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,train_roc_auc_mean
XGBoost,0.8506298153806513,0.013272359295306818,0.8256469201296787,0.013285808686560315,0.5123302170642596,0.04912119768953931,0.518379891826559,0.033289495484168506,0.5088652482269505,0.06957949244804462,0.9995186231244182
LogisticRegression,0.8476168290425703,0.020192602788234846,0.8364014146772767,0.00995249280656537,0.5657041108615736,0.02880704363565396,0.545516601770452,0.024993166442246532,0.5890070921985815,0.045473106672086344,0.9992271893580366
RandomForest,0.837326543994752,0.016022510765192288,0.8271706454465075,0.01818905010695057,0.5208466582753075,0.06744265892646374,0.5215370559882755,0.04640715718385193,0.5257978723404255,0.10082418395712504,0.9843126911830149
