feature,mean_abs_shap
morgan_bit_1764,0.008502314
morgan_bit_677,0.008459655
morgan_bit_1775,0.00843734
morgan_bit_1564,0.008372861
morgan_bit_1249,0.008233112
morgan_bit_1531,0.008098388
morgan_bit_1840,0.00805414
morgan_bit_691,0.007849158
morgan_bit_552,0.007730823
morgan_bit_1951,0.0074950275
morgan_bit_860,0.007492352
morgan_bit_794,0.007416453
morgan_bit_699,0.007373215
morgan_bit_1145,0.0073409886
morgan_bit_424,0.0072932285
morgan_bit_371,0.0072478894
morgan_bit_790,0.007009121
morgan_bit_441,0.0069288206
morgan_bit_561,0.006829755
morgan_bit_1946,0.0067946175
morgan_bit_305,0.0067046536
morgan_bit_437,0.006665258
morgan_bit_888,0.0063846256
morgan_bit_457,0.0061765187
morgan_bit_319,0.0061220047
morgan_bit_1463,0.0060088513
morgan_bit_1581,0.00600113
morgan_bit_242,0.005970367
morgan_bit_1866,0.005717909
morgan_bit_1470,0.005717821
morgan_bit_855,0.005700226
morgan_bit_1227,0.005678116
morgan_bit_1391,0.005584546
morgan_bit_1136,0.005563284
morgan_bit_1997,0.005507133
morgan_bit_310,0.0053739804
morgan_bit_1162,0.0049547474
morgan_bit_1586,0.0049290904
morgan_bit_1380,0.004897935
morgan_bit_1133,0.004846772
morgan_bit_1456,0.004815123
morgan_bit_1095,0.004788907
morgan_bit_798,0.0046418086
morgan_bit_528,0.004569453
morgan_bit_1963,0.0045439387
morgan_bit_262,0.004485149
morgan_bit_1243,0.004447632
morgan_bit_918,0.004326247
morgan_bit_1257,0.004272579
morgan_bit_1671,0.0042392137
morgan_bit_79,0.0041944003
morgan_bit_1488,0.0041611674
morgan_bit_1022,0.004122612
morgan_bit_482,0.004048314
morgan_bit_563,0.004037068
morgan_bit_1536,0.0039407774
morgan_bit_713,0.0038821686
morgan_bit_182,0.0038799595
morgan_bit_1168,0.003726565
morgan_bit_1234,0.0037232607
morgan_bit_1631,0.003723006
morgan_bit_1950,0.0037192549
morgan_bit_334,0.00367294
morgan_bit_473,0.003605843
morgan_bit_116,0.003533679
